Terminal ID,Region,Terminal Name
70010000,NORTH LUZON,Lie-Ann's Agricultural Supply
70010001,NORTH LUZON,DDJJ Trading
70010002,NORTH LUZON,Beniong & Raquel's Mini Store
70010003,NORTH LUZON,Cayaon Food Products Trading
70010004,NORTH LUZON,Thanksgiving Multi-Purpose Cooperative
70010005,SOUTH LUZON,Rhudarda Multi-Purpose Cooperative - Polilio Main Office
70010006,SOUTH LUZON,Rhudarda Multi-Purpose Cooperative- Burdeos
70010007,SOUTH LUZON,"Rural Bank of San Luis (Batangas), Inc."
70010008,SOUTH LUZON,JM MINI SHOPPE
70010013,SOUTH LUZON,Rod and Nora Sari-sari Store
70010014,SOUTH LUZON,TESS J ENTERPRISE
70010015,NORTH LUZON,Vherj Satur Ticketing and Bayad Center
70010016,NORTH LUZON,Philex Mines Multi Purpose Cooperative
70010017,NORTH LUZON,Buguias Lending Corporation
70010018,NORTH LUZON,Jhezdrei's General Merchandising
70010019,SOUTH LUZON,Lopez Bills Payment and Remittance Services
70010020,SOUTH LUZON,Rowel And Mary Ann Enterprises
70010021,CENTRAL LUZON,Alejo Remittance Center
70010022,CENTRAL LUZON,Azeneth Lising Verzon General Merchandize
70010024,SOUTH LUZON,MINISORIA BILLS PAYMENT & REMITTANCE CENTER
70010025,NORTH LUZON,Lhei's Drygoods
70010027,CENTRAL LUZON,RJA FAMILY PHARMACY
70010028,CENTRAL LUZON,Alseco Remittance And Payment Center
70010029,NORTH LUZON,Triple J Sari-Sari Store
70010033,NORTH LUZON,ChleoMed Pharmacy
70010036,NORTH LUZON,Farmacia Orate
70010037,NORTH LUZON,Albino's Sari-Sari Store
70010038,NORTH LUZON,NL Macadangdang Store
70010039,NORTH LUZON,Rose Ann Demerin General Merchandise
70010040,NORTH LUZON,Cedie Sari Sari Store
70010041,NORTH LUZON,R & D General Merchandise
70010042,NORTH LUZON,Derfasiul Store
70010043,NORTH LUZON,Mayder Store
70010047,SOUTH LUZON,PRIMA'S BILLS PAYMENT & REMITTANCE CENTER
70010048,SOUTH LUZON,SINISIAN STORE
70010049,SOUTH LUZON,Auxmary89 General Merchandise
70010050,SOUTH LUZON,Ronald Bueno Sari- Sari Store
70010051,SOUTH LUZON,1World2go Travel Services
70010052,SOUTH LUZON,RAV.COM PRINTING SHOP
70010054,NORTH LUZON,Kerlene Variety Store
70010056,NORTH LUZON,RNN Bills Payment and Remittance Center
70010057,NORTH LUZON,Pua Store
70010058,SOUTH LUZON,Raquion Enterprises
70010059,CENTRAL LUZON,Oransha Sari Sari Store
70010060,CENTRAL LUZON,Mark Gil Remittance Services
70010061,CENTRAL LUZON,Boaquina Remittance Center
70010065,NORTH LUZON,Sean Quincy Sari Sari Store
70010069,NORTH LUZON,J. Asuncion Variety Shop
70010070,CENTRAL LUZON,Kia Perez Bills Payment and Remittance Center
70010071,CENTRAL LUZON,Easypay Business Center
70010072,CENTRAL LUZON,Verdadero Office Supplies Trading
70010073,CENTRAL LUZON,Kikonek Computer Shop & School Supplies
70010074,CENTRAL LUZON,Brenda's Store
70010075,CENTRAL LUZON,Whyne's Remittance Center
70010076,CENTRAL LUZON,A.Z Sigua Enterprises
70010078,SOUTH LUZON,72 Express Loading Station
70010079,SOUTH LUZON,7 4 11 ABJH Convenience Store
70010080,SOUTH LUZON,Jay N J RTW and Gift Shop
70010081,SOUTH LUZON,Razacla Bills Payment and Remittance Services
70010082,CENTRAL LUZON,JCD Yu Payment Center
70010083,CENTRAL LUZON,Mommy Love Drugstore and Medical Supplies
70010084,CENTRAL LUZON,Tiger' Bills Payment and Remittance Services
70010086,CENTRAL LUZON,DM Salenga Vehicle Parts and Accessories
70010087,CENTRAL LUZON,L. Pascual Store
70010088,CENTRAL LUZON,Vinas Remittance Center
70010089,CENTRAL LUZON,Mark Vincent Bills Payment and Remittance Center
70010092,NORTH LUZON,Ivynez Enterprise
70010100,CENTRAL LUZON,4ACExpress Bills Payment and Remittance Center
70010101,CENTRAL LUZON,Quickpaysolutions & Business Center
70010102,CENTRAL LUZON,Vip's Capiz Services Payment Center
70010103,CENTRAL LUZON,Mark Josef P. Yuzon Sari Sari Store
70010105,CENTRAL LUZON,Axel Bills Payment and Remittances
70010106,NORTH LUZON,Maynicefriday Food and Beverage Trading
70010110,NORTH LUZON,Emelie General Merchandise
70010111,NORTH LUZON,Airline Ticket and Loading Station
